start node label	end node label
scholarNET:2	scholarNET:1
scholarNET:3	scholarNET:4
scholarNET:8	scholarNET:6
scholarNET:6	scholarNET:7
scholarNET:7	scholarNET:5
scholarNET:5	scholarNET:7
scholarNET:5	scholarNET:9
scholarNET:5	scholarNET:10
scholarNET:5	scholarNET:11
scholarNET:10	scholarNET:6
scholarNET:5	scholarNET:12
scholarNET:5	scholarNET:12
scholarNET:5	scholarNET:13
scholarNET:14	scholarNET:8
scholarNET:14	scholarNET:5
scholarNET:14	scholarNET:5
scholarNET:14	scholarNET:5
scholarNET:15	scholarNET:8
scholarNET:15	scholarNET:5
scholarNET:16	scholarNET:5
scholarNET:16	scholarNET:5
scholarNET:16	scholarNET:5
scholarNET:17	scholarNET:8
scholarNET:18	scholarNET:17
scholarNET:18	scholarNET:5
scholarNET:5	scholarNET:19
scholarNET:5	scholarNET:2
scholarNET:20	scholarNET:21
scholarNET:20	scholarNET:22
scholarNET:20	scholarNET:23
scholarNET:20	scholarNET:24
scholarNET:20	scholarNET:25
scholarNET:20	scholarNET:26
scholarNET:20	scholarNET:27
scholarNET:28	scholarNET:20
scholarNET:29	scholarNET:20
scholarNET:29	scholarNET:20
scholarNET:8	scholarNET:30
scholarNET:30	scholarNET:20
scholarNET:30	scholarNET:31
scholarNET:32	scholarNET:8
scholarNET:32	scholarNET:20
scholarNET:20	scholarNET:33
scholarNET:20	scholarNET:33
scholarNET:20	scholarNET:34
scholarNET:20	scholarNET:35
scholarNET:20	scholarNET:21
scholarNET:30	scholarNET:20
scholarNET:37	scholarNET:36
scholarNET:37	scholarNET:36
scholarNET:37	scholarNET:36
scholarNET:37	scholarNET:36
scholarNET:37	scholarNET:36
scholarNET:37	scholarNET:36
scholarNET:36	scholarNET:37
scholarNET:36	scholarNET:37
scholarNET:37	scholarNET:36
scholarNET:38	scholarNET:37
scholarNET:37	scholarNET:38
scholarNET:37	scholarNET:38
scholarNET:38	scholarNET:37
scholarNET:38	scholarNET:37
scholarNET:38	scholarNET:36
scholarNET:38	scholarNET:36
scholarNET:37	scholarNET:36
scholarNET:37	scholarNET:36
scholarNET:37	scholarNET:36
scholarNET:36	scholarNET:37
scholarNET:37	scholarNET:36
scholarNET:36	scholarNET:37
scholarNET:36	scholarNET:39
scholarNET:36	scholarNET:40
scholarNET:36	scholarNET:1
scholarNET:36	scholarNET:2
scholarNET:36	scholarNET:2
scholarNET:36	scholarNET:1
scholarNET:36	scholarNET:2
