Sample Number	Internal ID	Person Name	Person Name EN Short	Person Name EN	OA2 URI	Identification	Number of Named/Titled Refs	OA2 Refs to this page?	OA2 Refs to this Entry?	OA2 Refs to this source?	Affiliation(s) from source	Affiliation(s) from OA2	Standardized Affiliation 1	Standardized Affiliation 2	Affiliation Notes	EI Link	Number of Interactions	digraph
5xa	scholarNET:46	الشَّيْخ مهذب الدّين عبد الرَّحِيم بن عَليّ 	ʿAbd al-Raḥīm b. ʿAlī	Al-Shaykh Muhadhdhab al-Dīn ʿAbd al-Raḥīm b. ʿAlī	http://onomasticon.irht.cnrs.fr/en/entry/id/14807	?		0	0	0			unspecified					
5xa	scholarNET:47	موفق الدّين أسعد بن إلْيَاس المطران	ʾAsʿad b. ʾIlyās al-Maṭrān	Muwaffaq al-Dīn ʾAsʿad b. ʾIlyās al-Maṭrān	http://onomasticon.irht.cnrs.fr/en/entry/id/14308			0	0	0		كَانَ نَصرَنِيَّا ثُمَّ أسلَمَ	Christian	Muslim				
5xa	scholarNET:48	الأوحد بن التقي	Al-ʾAwḥad b. al-Taqī	Al-ʾAwḥad b. al-Taqī									unspecified					
5xa	scholarNET:49	أب[و الأوحد بن التقي]	Father of Al-ʾAwḥad b. al-Taqī	Father of Al-ʾAwḥad b. al-Taqī									unspecified					
5xa	scholarNET:50	عبد الْوَدُود الطَّبِيب	ʿAbd al-Wadūd	ʿAbd al-Wadūd al-Ṭabīb	http://onomasticon.irht.cnrs.fr/en/entry/id/9670			0	0	0			unspecified					
5xa	scholarNET:51	أَبُو الْفضل تلميذ أبي البركات الْمَعْرُوف بأوحد الزَّمَان	Abū al-Faḍl, student of Abū al-Barakāt	Abū al-Faḍl, student of Abū al-Barakāt known as ʾAwḥad al-Zamān									unspecified					
5xa	scholarNET:52	[ا]للبواب الَّذِي ل[سعيد بن هبة الله]	Doorkeeper of Saʿīd b. Hibbat Allāh	Doorkeeper of Saʿīd b. Hibbat Allāh									unspecified					
5xb	scholarNET:4	البديع الإسطرلابي, بديع الزَّمَان أَبُو الْقَاسِم هبة الله بن الْحُسَيْن بن أَحْمد الْبَغْدَادِيّ  	Al-Badīʿ al-Asṭurlābī	Al-Badīʿ al-Asṭurlābī	http://onomasticon.irht.cnrs.fr/en/entry/id/13808			0	0	0			unspecified		Presumably Muslim. Plenty of biographical information. Could maybe find some solid indication. 	http://dx.doi.org/10.1163/1573-3912_islam_SIM_0993		
5xb	scholarNET:16	أمين الدولة بن التلميذ	Ibn al-Tilmīdh	Amīn al-Dawla b. al-Tilmīdh	http://onomasticon.irht.cnrs.fr/en/person/21979			0	0	3		نَصرَانِي, يَهُودِي 	Christian	Jewish		http://dx.doi.org/10.1163/1573-3912_islam_SIM_3393		
5xb	scholarNET:3	مهذب الدّين أَبُو نصر مُحَمَّد بن مُحَمَّد بن إِبْرَاهِيم بن الْخضر الْحلَبِي	Abū Naṣr Muḥammad	Muhadhdhab al-Dīn Abū Naṣr Muḥammad b. Muḥammad b. Ibrāhīm b. al-Khaḍar al-Ḥalabī									unspecified					
5xb	scholarNET:53	البرهان المنجم	Al-Burhān al-Munajjim	Al-Burhān al-Munajjim									unspecified					
5xb	scholarNET:54	أقليدس	Euclid	Euclid									unspecified					
5xb	scholarNET:55	القيسراني	Al-Qaysarānī	Al-Qaysarānī	http://onomasticon.irht.cnrs.fr/en/entry/id/13936								unspecified			http://dx.doi.org/10.1163/1573-3912_ei3_COM_30856		
5xc	scholarNET:56	أب[و] عبد الله الْحُسَيْن بن الْحجَّاج	Ibn al-Ḥajjāj	Abū ʿAbd Allāh al-Ḥusayn b. al-Ḥajjāj	http://onomasticon.irht.cnrs.fr/en/entry/id/31239			0	0	0			unspecified					
5xc	scholarNET:57	[ا]لسُّلْطَان مَحْمُود أب[و] الْقَاسِم بن مُحَمَّد	Sulṭān Maḥmūd b. Muḥammad	Sulṭān Maḥmūd Abū al-Qāsim b. Muḥammad	http://onomasticon.irht.cnrs.fr/en/entry/id/13734			0	0	0			Muslim			http://dx.doi.org/10.1163/1573-3912_islam_SIM_4794		
