Source URI	Relationship	Target URI
https://usaybia.net/person/328	teacher of	https://usaybia.net/person/32
https://usaybia.net/person/341	secretary to	https://usaybia.net/person/1706
https://usaybia.net/person/343	patron of	https://usaybia.net/person/1919
https://usaybia.net/person/344	courtier of	https://usaybia.net/person/841
https://usaybia.net/person/353	father of	https://usaybia.net/person/1579
https://usaybia.net/person/355	`mawlā` of	https://usaybia.net/person/841
https://usaybia.net/person/360	son of	https://usaybia.net/person/1017
https://usaybia.net/person/362	uncle of	https://usaybia.net/person/2263
https://usaybia.net/person/372	pupil and amanuensis of	https://usaybia.net/person/1125
https://usaybia.net/person/375	contemporary of	https://usaybia.net/person/1016
https://usaybia.net/person/376	brother of	https://usaybia.net/person/128
https://usaybia.net/person/379	physician of	https://usaybia.net/person/472
https://usaybia.net/person/386	courtier of	https://usaybia.net/person/841
https://usaybia.net/person/388	acquaintance of	https://usaybia.net/person/1070
https://usaybia.net/person/389	singer under	https://usaybia.net/person/841
https://usaybia.net/person/390	vizier of	https://usaybia.net/person/1508
https://usaybia.net/person/392	contemporary of	https://usaybia.net/person/1919
https://usaybia.net/person/403	son of	https://usaybia.net/person/2273
https://usaybia.net/person/411	general of	https://usaybia.net/person/1497
https://usaybia.net/person/420	great-grandson of	https://usaybia.net/person/944
https://usaybia.net/person/421	brother of	https://usaybia.net/person/1122
https://usaybia.net/person/434	patron of	https://usaybia.net/person/1408
https://usaybia.net/person/435	`mawlā` of	https://usaybia.net/person/1989
https://usaybia.net/person/449		https://usaybia.net/person/1405
https://usaybia.net/person/450	brother of	https://usaybia.net/person/1595
https://usaybia.net/person/451	patron of	https://usaybia.net/person/1125
https://usaybia.net/person/452		https://usaybia.net/person/786
https://usaybia.net/person/461		https://usaybia.net/person/899
https://usaybia.net/person/462	son of	https://usaybia.net/person/1755
https://usaybia.net/person/464	brother of	https://usaybia.net/person/1125
https://usaybia.net/person/468	father of	https://usaybia.net/person/1594
https://usaybia.net/person/472	vizier under	https://usaybia.net/person/1667
https://usaybia.net/person/473	commander under	https://usaybia.net/person/1436
https://usaybia.net/person/476	son of	https://usaybia.net/person/1436
https://usaybia.net/person/477	son of	https://usaybia.net/person/2181
https://usaybia.net/person/483		https://usaybia.net/person/1497
https://usaybia.net/person/490	maidservant of	https://usaybia.net/person/565
https://usaybia.net/person/498	patient of	https://usaybia.net/person/1911
https://usaybia.net/person/504		https://usaybia.net/person/815
https://usaybia.net/person/506		https://usaybia.net/person/841
https://usaybia.net/person/508	killer of	https://usaybia.net/person/2379
https://usaybia.net/person/511	official under	https://usaybia.net/person/1497
https://usaybia.net/person/515	Companion of	https://usaybia.net/person/1599
https://usaybia.net/person/521	grandfather of	https://usaybia.net/person/1855
https://usaybia.net/person/524	physician of	https://usaybia.net/person/1852
https://usaybia.net/person/526	physician of	https://usaybia.net/person/1766
https://usaybia.net/person/528	continuator of	https://usaybia.net/person/752
https://usaybia.net/person/529	editor of the works of	https://usaybia.net/person/565
https://usaybia.net/person/535	addressee of a letter attributed to	https://usaybia.net/person/714
https://usaybia.net/person/537	student of	https://usaybia.net/person/565
https://usaybia.net/person/541	dedicatee of	https://usaybia.net/person/786
https://usaybia.net/person/546	brother of	https://usaybia.net/person/527
https://usaybia.net/person/547	pupil of	https://usaybia.net/person/886
https://usaybia.net/person/552	brother of	https://usaybia.net/person/1420
https://usaybia.net/person/554	physician under	https://usaybia.net/person/2241
https://usaybia.net/person/555	friend of	https://usaybia.net/person/2125
https://usaybia.net/person/557	disciple of	https://usaybia.net/person/886
https://usaybia.net/person/561	student of	https://usaybia.net/person/2125
https://usaybia.net/person/562	grandson of	https://usaybia.net/person/561
https://usaybia.net/person/563	friend of	https://usaybia.net/person/565
https://usaybia.net/person/564	father of	https://usaybia.net/person/1829
https://usaybia.net/person/566	pupil of	https://usaybia.net/person/565
https://usaybia.net/person/572	acquainted with	https://usaybia.net/person/926
https://usaybia.net/person/584	wife of	https://usaybia.net/person/2379
https://usaybia.net/person/591	physician in the service of	https://usaybia.net/person/1653
https://usaybia.net/person/596	translator of	https://usaybia.net/person/786
https://usaybia.net/person/599	son of	https://usaybia.net/person/1981
https://usaybia.net/person/600	secretary of	https://usaybia.net/person/899
https://usaybia.net/person/602	rebel against	https://usaybia.net/person/1497
https://usaybia.net/person/611	commander-in-chief of	https://usaybia.net/person/1692
https://usaybia.net/person/614	brother of	https://usaybia.net/person/763
https://usaybia.net/person/616	biographer of	https://usaybia.net/person/1981
https://usaybia.net/person/617	pupil of	https://usaybia.net/person/1125
https://usaybia.net/person/622	son of	https://usaybia.net/person/487
https://usaybia.net/person/623	son of	https://usaybia.net/person/622
https://usaybia.net/person/637	brother of	https://usaybia.net/person/648
https://usaybia.net/person/644	teacher of	https://usaybia.net/person/145
https://usaybia.net/person/649	under	https://usaybia.net/person/1502
https://usaybia.net/person/651	disciple of	https://usaybia.net/person/886
https://usaybia.net/person/657	physician to	https://usaybia.net/person/841
https://usaybia.net/person/658	physician to	https://usaybia.net/person/1667
https://usaybia.net/person/660	physician in	https://usaybia.net/person/148
https://usaybia.net/person/661	servant of	https://usaybia.net/person/1692
https://usaybia.net/person/662	known to	https://usaybia.net/person/926
https://usaybia.net/person/663	vizier of	https://usaybia.net/person/1292
https://usaybia.net/person/664	father of	https://usaybia.net/person/1025
https://usaybia.net/person/665	named by	https://usaybia.net/person/1040
https://usaybia.net/person/677	ancestor of	https://usaybia.net/person/886
https://usaybia.net/person/681	ancestor of	https://usaybia.net/person/2422
https://usaybia.net/person/683	physician of	https://usaybia.net/person/2241
https://usaybia.net/person/684	friend of	https://usaybia.net/person/2125
https://usaybia.net/person/685	enemy of	https://usaybia.net/person/1855
https://usaybia.net/person/692	brother of	https://usaybia.net/person/1948
https://usaybia.net/person/693	in service of	https://usaybia.net/person/1654
https://usaybia.net/person/694	brother-in-law of	https://usaybia.net/person/2326
https://usaybia.net/person/698	father of	https://usaybia.net/person/2146
https://usaybia.net/person/700	son of	https://usaybia.net/person/899
https://usaybia.net/person/702	brother of	https://usaybia.net/person/2328
https://usaybia.net/person/709	disciple of	https://usaybia.net/person/886
https://usaybia.net/person/723	Patriarch of	https://usaybia.net/person/458
https://usaybia.net/person/724	friend of	https://usaybia.net/person/565
https://usaybia.net/person/727	father of	https://usaybia.net/person/762
https://usaybia.net/person/729	son of	https://usaybia.net/person/886
https://usaybia.net/person/733	brother of	https://usaybia.net/person/2350
https://usaybia.net/person/747	dedicatee of	https://usaybia.net/person/786
https://usaybia.net/person/748	pupil of	https://usaybia.net/person/565
https://usaybia.net/person/749	brother of	https://usaybia.net/person/1855
https://usaybia.net/person/754	pupil of	https://usaybia.net/person/886
https://usaybia.net/person/757	vizier of	https://usaybia.net/person/841
https://usaybia.net/person/758	vizier under	https://usaybia.net/person/1497
https://usaybia.net/person/759	son of	https://usaybia.net/person/2302
https://usaybia.net/person/766	`mawlā` of	https://usaybia.net/person/1985
https://usaybia.net/person/772	under	https://usaybia.net/person/1700
https://usaybia.net/person/774	daughter of	https://usaybia.net/person/793
https://usaybia.net/person/777	disciple of	https://usaybia.net/person/886
https://usaybia.net/person/781	physician serving	https://usaybia.net/person/1248
https://usaybia.net/person/782	pupil of	https://usaybia.net/person/1830
https://usaybia.net/person/783	pupil of	https://usaybia.net/person/1830
https://usaybia.net/person/789	grandfather of	https://usaybia.net/person/2421
https://usaybia.net/person/793	concubine of	https://usaybia.net/person/841
https://usaybia.net/person/795	physician of	https://usaybia.net/person/1692
https://usaybia.net/person/800	friend and dedicatee of	https://usaybia.net/person/786
https://usaybia.net/person/802	ancestor of	https://usaybia.net/person/886
https://usaybia.net/person/803	pupil of	https://usaybia.net/person/799
https://usaybia.net/person/810	translator of	https://usaybia.net/person/743
https://usaybia.net/person/811	loyal to	https://usaybia.net/person/35
https://usaybia.net/person/813	physician to	https://usaybia.net/person/1581
https://usaybia.net/person/817	courtier of	https://usaybia.net/person/1497
https://usaybia.net/person/818	vizier under	https://usaybia.net/person/1667
https://usaybia.net/person/819	Brother of	https://usaybia.net/person/1594
https://usaybia.net/person/823	student of	https://usaybia.net/person/1136
https://usaybia.net/person/826	physician at	https://usaybia.net/person/1700
https://usaybia.net/person/827	ancestor of	https://usaybia.net/person/1408
https://usaybia.net/person/828	contemporary of	https://usaybia.net/person/1599
https://usaybia.net/person/834	under	https://usaybia.net/person/1667
https://usaybia.net/person/835	commander under	https://usaybia.net/person/1502
https://usaybia.net/person/838	friend of	https://usaybia.net/person/2326
https://usaybia.net/person/843	physician to	https://usaybia.net/person/1667
https://usaybia.net/person/848	grandson of	https://usaybia.net/person/1599
https://usaybia.net/person/849	poet at the court of	https://usaybia.net/person/598
https://usaybia.net/person/850	source used by	https://usaybia.net/person/1016
https://usaybia.net/person/852	vizier under	https://usaybia.net/person/1696
https://usaybia.net/person/853	student of	https://usaybia.net/person/1410
https://usaybia.net/person/854	favoured by	https://usaybia.net/person/793
https://usaybia.net/person/859	student of	https://usaybia.net/person/1408
https://usaybia.net/person/862	assistant to	https://usaybia.net/person/1975
https://usaybia.net/person/868	father of	https://usaybia.net/person/886
https://usaybia.net/person/877	maid/concubine of	https://usaybia.net/person/565
https://usaybia.net/person/880	dedicatee of	https://usaybia.net/person/786
https://usaybia.net/person/884	detractor of	https://usaybia.net/person/565
https://usaybia.net/person/885	student of	https://usaybia.net/person/565
https://usaybia.net/person/892	nephew of	https://usaybia.net/person/899
https://usaybia.net/person/895	grandson of	https://usaybia.net/person/790
https://usaybia.net/person/897	general of	https://usaybia.net/person/1497
https://usaybia.net/person/901	grandfather of	https://usaybia.net/person/2395
