<?xml version="1.0" encoding="UTF-8"?>
<root>
ENCODED	DECODED
􏰦􏱌􏱍	`al-`
􏱉􏰦􏰳􏰳􏱎􏰶􏲧	`ʿattābī`
􏰁􏰦􏰱􏲧􏱋􏰦􏰳	`Madīnat`
􏰞􏰦􏱌􏱎􏱗	`Salām`
</root>
