URI,Name
https://usaybia.net/person/997,Abū ʿAlī Muḥammad ibn al-Ḥasan ibn al-Haytham
https://usaybia.net/person/1875,ʿAlam al-Dīn Qayṣar ibn Abī l-Qāsim ibn ʿAbd al-Ghanī ibn Musāfir al-Ḥanafī
https://usaybia.net/person/926,Ibn Abī Uṣaybiʿa
https://usaybia.net/person/997
https://usaybia.net/person/743,Euclid
https://usaybia.net/person/1085,al-Ṣāḥib Jamāl al-Dīn Abū l-Ḥasan ibn al-Qifṭī
https://usaybia.net/person/2342,Yūsuf al-Fāsī al-Isrāʾīlī
https://usaybia.net/person/565,Aristotle
https://usaybia.net/person/786,Galen
https://usaybia.net/person/318,Abū l-Qāsim ibn ʿAlī ibn ʿĪsā, son of vizier of al-Muqtadir

