Source,Target,Relation
https://usaybia.net/person/1589,https://usaybia.net/person/997,http://syriaca.org/keyword/associate-of
https://usaybia.net/person/997,https://usaybia.net/person/1589,http://syriaca.org/keyword/associate-of
https://usaybia.net/person/1589,https://usaybia.net/person/494,http://syriaca.org/keyword/acquaintance-of
https://usaybia.net/person/494,https://usaybia.net/person/1589,http://syriaca.org/keyword/acquaintance-of
https://usaybia.net/person/1589,https://usaybia.net/person/494,http://syriaca.org/keyword/associate-of
https://usaybia.net/person/494,https://usaybia.net/person/1589,http://syriaca.org/keyword/associate-of
https://usaybia.net/person/926,https://usaybia.net/person/1589,http://syriaca.org/keyword/reader-of-handwriting-of
https://usaybia.net/person/1589,https://usaybia.net/person/926,inverse of http://syriaca.org/keyword/reader-of-handwriting-of
https://usaybia.net/person/1947,https://usaybia.net/person/1589,http://syriaca.org/keyword/oral-informant-about
https://usaybia.net/person/1589,https://usaybia.net/person/1947,inverse of http://syriaca.org/keyword/oral-informant-about
https://usaybia.net/person/1947,https://usaybia.net/person/926,http://syriaca.org/keyword/oral-informant-to
https://usaybia.net/person/926,https://usaybia.net/person/1947,inverse of http://syriaca.org/keyword/oral-informant-to
https://usaybia.net/person/2553,https://usaybia.net/person/1589,http://syriaca.org/keyword/spouse-of
https://usaybia.net/person/1589,https://usaybia.net/person/2553,http://syriaca.org/keyword/spouse-of
https://usaybia.net/person/2553,https://usaybia.net/person/1589,http://syriaca.org/keyword/enmity-for
https://usaybia.net/person/1589,https://usaybia.net/person/2553,inverse of http://syriaca.org/keyword/enmity-for
https://usaybia.net/person/1983,https://usaybia.net/person/1589,http://syriaca.org/keyword/student-of
https://usaybia.net/person/1589,https://usaybia.net/person/1983,inverse of http://syriaca.org/keyword/student-of
