Source,Target,Relation
https://usaybia.net/person/2335,https://usaybia.net/person/83,http://syriaca.org/keyword/friendship-for
https://usaybia.net/person/83,https://usaybia.net/person/2335,http://syriaca.org/keyword/friendship-for
https://usaybia.net/person/2335,https://usaybia.net/person/943,http://syriaca.org/keyword/friendship-for
https://usaybia.net/person/943,https://usaybia.net/person/2335,http://syriaca.org/keyword/friendship-for
https://usaybia.net/person/2335,https://usaybia.net/person/1093,http://syriaca.org/keyword/reader-of
https://usaybia.net/person/1093,https://usaybia.net/person/2335,inverse of http://syriaca.org/keyword/reader-of
https://usaybia.net/person/926,https://usaybia.net/person/2335,http://syriaca.org/keyword/reader-of-handwriting-of
https://usaybia.net/person/2335,https://usaybia.net/person/926,inverse of http://syriaca.org/keyword/reader-of-handwriting-of
https://usaybia.net/person/83,https://usaybia.net/person/2335,http://syriaca.org/keyword/addressee-of
https://usaybia.net/person/2335,https://usaybia.net/person/83,inverse of http://syriaca.org/keyword/addressee-of
