Source,Target,Relation
https://usaybia.net/person/926,https://usaybia.net/person/2394,http://syriaca.org/keyword/professional-relationship
https://usaybia.net/person/2394,https://usaybia.net/person/926,http://syriaca.org/keyword/professional-relationship
https://usaybia.net/person/1093,https://usaybia.net/person/961,http://syriaca.org/keyword/refuter-of
https://usaybia.net/person/961,https://usaybia.net/person/1093,http://syriaca.org/keyword/refuter-of
https://usaybia.net/person/1093,https://usaybia.net/person/899,http://syriaca.org/keyword/refuter-of
https://usaybia.net/person/899,https://usaybia.net/person/1093,http://syriaca.org/keyword/refuter-of
https://usaybia.net/person/1093,https://usaybia.net/person/1136,http://syriaca.org/keyword/refuter-of
https://usaybia.net/person/1136,https://usaybia.net/person/1093,http://syriaca.org/keyword/refuter-of
https://usaybia.net/person/1093,https://usaybia.net/person/1919,http://syriaca.org/keyword/refuter-of
https://usaybia.net/person/1919,https://usaybia.net/person/1093,http://syriaca.org/keyword/refuter-of
