Source,Target,Relation
https://usaybia.net/person/1983,https://usaybia.net/person/1215,http://syriaca.org/keyword/student-of
https://usaybia.net/person/1215,https://usaybia.net/person/1983,inverse of http://syriaca.org/keyword/student-of
https://usaybia.net/person/1983,https://usaybia.net/person/1589,http://syriaca.org/keyword/student-of
https://usaybia.net/person/1589,https://usaybia.net/person/1983,inverse of http://syriaca.org/keyword/student-of
https://usaybia.net/person/346,https://usaybia.net/person/1983,http://syriaca.org/keyword/acquaintance-of
https://usaybia.net/person/1983,https://usaybia.net/person/346,http://syriaca.org/keyword/acquaintance-of
https://usaybia.net/person/1983,https://usaybia.net/person/786,http://syriaca.org/keyword/reader-of
https://usaybia.net/person/786,https://usaybia.net/person/1983,inverse of http://syriaca.org/keyword/reader-of
https://usaybia.net/person/346,https://usaybia.net/person/1983,http://syriaca.org/keyword/cited-negatively
https://usaybia.net/person/1983,https://usaybia.net/person/346,inverse of http://syriaca.org/keyword/cited-negatively
https://usaybia.net/person/1342,https://usaybia.net/person/1983,http://syriaca.org/keyword/enmity-for
https://usaybia.net/person/1983,https://usaybia.net/person/1342,inverse of http://syriaca.org/keyword/enmity-for
https://usaybia.net/person/1342,https://usaybia.net/person/1983,http://syriaca.org/keyword/cited-negatively
https://usaybia.net/person/1983,https://usaybia.net/person/1342,inverse of http://syriaca.org/keyword/cited-negatively
https://usaybia.net/person/346,https://usaybia.net/person/1342,http://syriaca.org/keyword/cited
https://usaybia.net/person/1342,https://usaybia.net/person/346,inverse of http://syriaca.org/keyword/cited
