URI,Name
https://usaybia.net/person/1028
https://usaybia.net/person/1028,Ibn al-Khammār
https://usaybia.net/person/2299,the Christian philosopher Yaḥyā ibn ʿAdī
https://usaybia.net/person/1028,Abū l-Khayr al-Ḥasan
https://usaybia.net/person/254,Abū l-Khaṭṭāb Muḥammad ibn Muḥammad ibn Abī Ṭālib
https://usaybia.net/person/1028,Abū l-Khayr al-Ḥasan ibn al-Khammār
https://usaybia.net/person/926,Ibn Abī Uṣaybiʿa
https://usaybia.net/person/1093,Ibn Riḍwān
https://usaybia.net/person/1439,Maḥmūd ibn Sebüktigin, Sultan of Ghaznah
https://usaybia.net/person/1000,Ibn Hindū, Abū l-Faraj ʿAlī ibn al-Ḥusayn
https://usaybia.net/person/1404,Khwārazmshāh Abū l-ʿAbbās Maʾmūn ibn Maʾmūn

