Source,Target,Relation
https://usaybia.net/person/961,https://usaybia.net/person/161,http://syriaca.org/keyword/student-of
https://usaybia.net/person/161,https://usaybia.net/person/961,inverse of http://syriaca.org/keyword/student-of
https://usaybia.net/person/926,https://usaybia.net/person/961,http://syriaca.org/keyword/reader-of
https://usaybia.net/person/926,https://usaybia.net/person/1093,http://syriaca.org/keyword/reader-of
https://usaybia.net/person/961,https://usaybia.net/person/926,inverse of http://syriaca.org/keyword/reader-of
https://usaybia.net/person/1093,https://usaybia.net/person/926,inverse of http://syriaca.org/keyword/reader-of
